Город,Население,Площадь,Есть аэропорт
Барабинск,30250,70.000000,false
Бердск,98809,70.000000,false
Болотное,16969,59.000000,false
Искитим,60072,30.000000,false
Карасук,28929,35.800000,false
Каргат,10620,69.000000,false
Куйбышев,47278,109.000000,false
Купино,15448,32.000000,false
Новосибирск,1498921,505.600000,false
Обь,26137,21.900000,false
Татарск,26114,80.000000,false
Тогучин,21531,81.000000,false
Черепаново,19346,20.000000,false
Чулым,11964,203.000000,false
Исилькуль,25905,139.000000,false
Калачинск,24000,24.000000,false
Называевск,12119,68.700000,false
Омск,1154000,572.900000,false
Тара,26664,118.000000,false
Тюкалинск,12050,44.600000,false
Абдулино,20663,47.000000,false
Бугуруслан,52249,76.000000,false
Бузулук,82816,54.000000,false
Гай,38302,62.100000,false
Кувандык,26176,42.060000,false
Медногорск,27253,91.330000,false
Новотроицк,97914,305.000000,false
Оренбург,570329,259.000000,false
Орск,238006,621.330000,false
Соль-Илецк,26308,185.000000,false
Сорочинск,30136,56.000000,false
Ясный,16082,67.000000,false
Болхов,11421,11.870000,false
Дмитровск,5956,6.000000,false
Ливны,50430,32.100000,false
Малоархангельск,3872,3.440000,false
Мценск,43216,20.810000,false
Новосиль,3799,5.000000,false
Орёл,317854,121.000000,false
Белинский,8567,8.000000,false
Городище,8102,9.390000,false
Заречный,63579,29.300000,false
Каменка,39579,31.800000,false
Кузнецк,88886,23.000000,false
Нижний Ломов,22678,12.000000,false
Никольск,22471,12.700000,false
Пенза,519592,290.377000,false
Сердобск,35393,28.420000,false
Спасск,7442,5.740000,false
Сурск,7032,5.000000,false
Александровск,15022,331.000000,false
Березники,156350,66.000000,false
Верещагино,22760,97.021000,false
Горнозаводск,12334,7.100000,false
Гремячинск,11005,65.000000,false
Губаха,27544,42.900000,false
Добрянка,35720,498.240000,false
Кизел,20277,75.810000,false
Красновишерск,17129,24.000000,false
Краснокамск,52632,95.800000,false
Кудымкар,30711,25.000000,false
Кунгур,67857,68.700000,false
Лысьва,67712,26.430000,false
Нытва,19041,25.300000,false
Оса,22420,105.700000,false
Оханск,7597,0.000000,false
Очер,15003,39.000000,false
Пермь,1000679,799.680000,false
Соликамск,97239,167.000000,false
Усолье,5694,16.000000,false
Чайковский,82933,31.000000,false
Чердынь,4920,15.000000,false
Чермоз,4017,7.200000,false
Чернушка,33275,29.100000,false
Чусовой,46740,95.000000,false
Арсеньев,56742,39.400000,false
Артем,102636,506.000000,false
Большой Камень,39257,119.800000,false
Владивосток,592069,331.160000,false
Дальнегорск,37503,31.000000,false
Дальнереченск,27601,111.000000,false
Лесозаводск,36975,71.000000,false
Находка,159695,325.900000,false
Партизанск,38648,126.000000,false
Спасск-Дальний,44166,49.000000,false
Уссурийск,157946,173.000000,false
Фокино,23683,16.000000,false
Великие Луки,98778,60.000000,false
Гдов,4379,5.000000,false
Дно,9061,13.800000,false
Невель,16324,23.000000,false
Новоржев,3695,8.000000,false
Новосокольники,8119,16.100000,false
Опочка,11601,23.910000,false
Остров,21670,2435.560000,false
Печоры,12308,21.000000,false
Порхов,10608,53.254000,false
Псков,203974,96.000000,false
Пустошка,4619,11.000000,false
Пыталово,5826,0.000000,false
Себеж,6375,8.000000,false
Азов,82882,66.000000,false
Аксай,41984,67.500000,false
Батайск,112400,77.680000,false
Белая Калитва,43688,16.495000,false
Волгодонск,170621,1823.000000,false
Гуково,67268,40.000000,false
Донецк,50085,358.000000,false
Зверево,22416,31.000000,false
Зерноград,26850,12.360000,false
Каменск-Шахтинский,95306,160.000000,false
Константиновск,17926,298.000000,false
Красный Сулин,40866,93.600000,false
Миллерово,36493,51.000000,false
Морозовск,27644,26.000000,false
Новочеркасск,169039,128.000000,false
Новошахтинск,111087,147.000000,false
Пролетарск,20267,14.000000,false
Ростов-на-Дону,1091544,348.500000,false
Сальск,61312,43.883000,false
Семикаракорск,23884,140.000000,false
Таганрог,257692,95.000000,false
Цимлянск,15029,26.300000,false
Шахты,240152,158.200000,false
Касимов,33494,20.000000,false
Кораблино,12657,82.403000,false
Михайлов,11783,8.000000,false
Новомичуринск,19309,26.000000,false
Рыбное,18378,15.360000,false
Ряжск,21676,21.000000,false
Рязань,525062,224.000000,false
Сасово,28117,23.790000,false
Скопин,30374,30.900000,false
Спас-Клепики,5917,6.000000,false
Спасск-Рязанский,7745,39.600000,false
Шацк,6562,0.000000,false
Жигулевск,57565,69.000000,false
Кинель,34472,37.000000,false
Нефтегорск,18732,6.000000,false
Новокуйбышевск,108449,86.000000,false
Октябрьск,27244,21.800000,false
Отрадный,47709,54.000000,false
Похвистнево,28181,65.000000,false
Самара,1164900,541.000000,false
Сызрань,178773,117.000000,false
Тольятти,719484,314.780000,false
Чапаевск,72689,187.500000,false
Санкт-Петербург,4848742,1439.000000,false
Аркадак,12846,16.000000,false
Аткарск,25620,10.540000,false
Балаково,199576,79.000000,false
Балашов,82222,72.900000,false
Вольск,66520,148.000000,false
Ершов,21447,21.000000,false
Калининск,16442,24.000000,false
Красноармейск,24362,156.000000,false
Красный Кут,14420,8.000000,false
Маркс,31535,16.000000,false
Новоузенск,17015,43.000000,false
Петровск,31158,27.300000,false
Пугачев,41705,79.000000,false
Ртищево,41295,32.000000,false
Саратов,836900,394.000000,false
Хвалынск,13199,46.000000,false
Шиханы,6067,9.840000,false
Энгельс,202838,121.060000,false
Александровск-Сахалинский,10613,22.000000,false
Анива,8449,8.000000,false
Долинск,12200,11.000000,false
Корсаков,33526,26.000000,false
Курильск,2070,1.000000,false
Макаров,6788,0.000000,false
Невельск,11682,9.000000,false
Оха,23007,44.000000,false
Поронайск,16461,55.000000,false
Северо-Курильск,2381,155.000000,false
Томари,4537,0.000000,false
Углегорск,11880,0.000000,false
Холмск,30936,32.000000,false
Южно-Сахалинск,181727,164.660000,false
Алапаевск,38198,25.000000,false
Арамиль,14227,21.820000,false
Артемовский,32878,47.000000,false
Асбест,70067,767.000000,false
Березовский,51583,0.000000,false
Богданович,31752,1497.000000,false
Верхний Тагил,11843,15.000000,false
Верхняя Пышма,58707,60.000000,false
Верхняя Салда,46240,72.000000,false
Верхняя Тура,9468,236.000000,false
Верхотурье,8815,189.334000,false
Волчанск,10008,63.000000,false
Дегтярск,15521,19.000000,false
Екатеринбург,1377738,468.000000,false
Заречный,26803,29.300000,false
Ивдель,17764,50.000000,false
Ирбит,38352,64.000000,false
Каменск-Уральский,174710,144.080000,false
Камышлов,26875,52.000000,false
Карпинск,29118,83.000000,false
Качканар,42563,317.000000,false
Кировград,21959,10.000000,false
Краснотурьинск,59701,309.500000,false
Красноуральск,24973,89.000000,false
Красноуфимск,80457,47.000000,false
Кушва,33027,50.000000,false
Лесной,52464,359.000000,false
Михайловск,9215,21.000000,false
Невьянск,25147,17.000000,false
Нижние Серги,11217,499.000000,false
Нижний Тагил,361883,298.000000,false
Нижняя Салда,17969,590.000000,false
Нижняя Тура,21596,42.000000,false
Новая Ляля,12400,20.000000,false
Новоуральск,91813,100.000000,false
Первоуральск,149800,66.000000,false
Полевской,64316,57.000000,false
Ревда,61713,111.000000,false
Реж,38709,198.000000,false
Североуральск,29279,80.000000,false
Серов,99381,418.000000,false
Среднеуральск,20357,83.800000,false
Сухой Лог,34836,30.000000,false
Сысерть,20594,20.000000,false
Тавда,35421,148.000000,false
Талица,18339,64.000000,false
